1	255	1.764706
1	254	1.771654
1	253	1.778656
1	252	1.785714
1	251	1.792829
1	250	1.800000
1	249	1.807229
1	248	1.814516
1	247	1.821862
1	246	1.829268
1	245	1.836735
1	244	1.844262
1	243	1.851852
1	242	1.859504
1	241	1.867220
1	240	1.875000
1	239	1.882845
1	238	1.890756
1	237	1.898734
1	236	1.906780
1	235	1.914894
1	234	1.923077
1	233	1.931330
1	232	1.939655
1	231	1.948052
1	230	1.956522
1	229	1.965066
1	228	1.973684
1	227	1.982379
1	226	1.991150
1	225	2.000000
1	224	2.008929
1	223	2.017937
1	222	2.027027
1	221	2.036199
1	220	2.045455
1	219	2.054795
1	218	2.064220
1	217	2.073733
1	216	2.083333
1	215	2.093023
1	214	2.102804
1	213	2.112676
1	212	2.122642
1	211	2.132701
1	210	2.142857
1	209	2.153110
1	208	2.163462
1	207	2.173913
1	206	2.184466
1	205	2.195122
1	204	2.205882
1	203	2.216749
1	202	2.227723
1	201	2.238806
1	200	2.250000
1	199	2.261307
1	198	2.272727
1	197	2.284264
1	196	2.295918
1	195	2.307692
1	194	2.319588
1	193	2.331606
1	192	2.343750
1	191	2.356021
1	190	2.368421
1	189	2.380952
1	188	2.393617
1	187	2.406417
1	186	2.419355
1	185	2.432432
1	184	2.445652
1	183	2.459016
1	182	2.472527
1	181	2.486188
1	180	2.500000
1	179	2.513966
1	178	2.528090
1	177	2.542373
1	176	2.556818
1	175	2.571429
1	174	2.586207
1	173	2.601156
1	172	2.616279
1	171	2.631579
1	170	2.647059
1	169	2.662722
1	168	2.678571
1	167	2.694611
1	166	2.710843
1	165	2.727273
1	164	2.743902
1	163	2.760736
1	162	2.777778
1	161	2.795031
1	160	2.812500
1	159	2.830189
1	158	2.848101
1	157	2.866242
1	156	2.884615
1	155	2.903226
1	154	2.922078
1	153	2.941176
1	152	2.960526
1	151	2.980132
1	150	3.000000
1	149	3.020134
1	148	3.040541
1	147	3.061224
1	146	3.082192
1	145	3.103448
1	144	3.125000
1	143	3.146853
1	142	3.169014
1	141	3.191489
1	140	3.214286
